Activity,Flow Name,Flow Location,LCIA Method,Unit,Absolute Contribution,Percentage Contribution
Copper,treatment of copper cake,AT,Total EQ,PDF.m2.yr,3.538702276635834e-07,8.992184636335756e-07
Copper,"platinum group metal, extraction and refinery operations",CN,Total EQ,PDF.m2.yr,2.9574107989722184e-07,7.515066787458981e-07
Copper,treatment of copper cake,CN,Total EQ,PDF.m2.yr,2.7910470293002763e-07,7.092320363278552e-07
Copper,primary zinc production from concentrate,KR,Total EQ,PDF.m2.yr,2.5233484281566327e-07,6.412072334427446e-07
Copper,"platinum group metal mine operation, ore with high palladium content",AU,Total EQ,PDF.m2.yr,2.4618322336021536e-07,6.255753736163083e-07
Copper,"platinum group metal mine operation, ore with high palladium content",FI,Total EQ,PDF.m2.yr,2.2558211282671922e-07,5.732259598626113e-07
Copper,treatment of copper scrap by electrolytic refining,SG,Total EQ,PDF.m2.yr,1.9919852632926075e-07,5.061827155862303e-07
Copper,"platinum group metal mine operation, ore with high palladium content",PE,Total EQ,PDF.m2.yr,1.9760308098643691e-07,5.021285347090832e-07
Copper,gold mine operation and refining,JP,Total EQ,PDF.m2.yr,1.9422429112201198e-07,4.93542702973848e-07
Copper,"platinum group metal, extraction and refinery operations",JP,Total EQ,PDF.m2.yr,1.3003687752814473e-07,3.304362788545466e-07
Copper,treatment of copper cake,JP,Total EQ,PDF.m2.yr,1.2062591222648074e-07,3.065221060919928e-07
Copper,"platinum group metal mine operation, ore with high palladium content",CN,Total EQ,PDF.m2.yr,1.1296044727336797e-07,2.8704341848471536e-07
Copper,"platinum group metal mine operation, ore with high palladium content",AT,Total EQ,PDF.m2.yr,8.216270497912477e-08,2.0878337753111434e-07
Copper,cobalt production,FI,Total EQ,PDF.m2.yr,6.242324512507534e-08,1.586235014655031e-07
Copper,"treatment of metal part of electronics scrap, in copper, anode, by electrolytic refining",ZA,Total EQ,PDF.m2.yr,6.10422227677622e-08,1.551141901267506e-07
Copper,cobalt production,PE,Total EQ,PDF.m2.yr,5.099668688225049e-08,1.2958751215503552e-07
Copper,"treatment of metal part of electronics scrap, in copper, anode, by electrolytic refining",BE,Total EQ,PDF.m2.yr,5.075144592664716e-08,1.2896433117489579e-07
Copper,"platinum group metal mine operation, ore with high palladium content",JP,Total EQ,PDF.m2.yr,4.039915775074219e-08,1.0265816597390827e-07
Copper,cobalt production,AU,Total EQ,PDF.m2.yr,3.5216617977943e-08,8.948883131983057e-08
Copper,primary zinc production from concentrate,AU,Total EQ,PDF.m2.yr,2.8694176083669758e-08,7.291467582211668e-08
Copper,primary zinc production from concentrate,PE,Total EQ,PDF.m2.yr,2.343037720764347e-08,5.953885392992757e-08
Copper,primary zinc production from concentrate,FI,Total EQ,PDF.m2.yr,2.24232282503482e-08,5.69795910498353e-08
Copper,cobalt production,AT,Total EQ,PDF.m2.yr,2.2365291215047093e-08,5.683236744129688e-08
Copper,gold mine operation and refining,SG,Total EQ,PDF.m2.yr,1.933220575947946e-08,4.9125004034568704e-08
Copper,cobalt production,CN,Total EQ,PDF.m2.yr,1.787846450091301e-08,4.543090693665851e-08
Copper,"treatment of metal part of electronics scrap, in copper, anode, by electrolytic refining",KR,Total EQ,PDF.m2.yr,1.451298314302312e-08,3.687889340330688e-08
Copper,"platinum group metal, extraction and refinery operations",SG,Total EQ,PDF.m2.yr,1.2902459286295011e-08,3.278639656441188e-08
Copper,treatment of copper cake,SG,Total EQ,PDF.m2.yr,1.2788147487904498e-08,3.249591923207854e-08
Copper,primary zinc production from concentrate,CN,Total EQ,PDF.m2.yr,1.2657318145438473e-08,3.2163469223194686e-08
Copper,primary zinc production from concentrate,AT,Total EQ,PDF.m2.yr,8.797122221441579e-09,2.235433814421329e-08
Copper,cobalt production,JP,Total EQ,PDF.m2.yr,7.17613431191057e-09,1.8235251135393765e-08
Copper,primary zinc production from concentrate,JP,Total EQ,PDF.m2.yr,4.68165185198328e-09,1.1896530017240892e-08
Copper,"platinum group metal mine operation, ore with high palladium content",SG,Total EQ,PDF.m2.yr,3.606840675903232e-09,9.165330897065919e-09
Copper,"aluminium alloy production, Metallic Matrix Composite",CA,Total EQ,PDF.m2.yr,3.2802661255746154e-09,8.335473388715422e-09
Copper,"aluminium alloy production, AlLi",CA,Total EQ,PDF.m2.yr,2.2848429261179344e-09,5.806006793035579e-09
Copper,"treatment of metal part of electronics scrap, in copper, anode, by electrolytic refining",FI,Total EQ,PDF.m2.yr,2.2394306674259263e-09,5.690609852861286e-09
Copper,"treatment of metal part of electronics scrap, in copper, anode, by electrolytic refining",PE,Total EQ,PDF.m2.yr,1.9523261792860926e-09,4.96104958882901e-09
Copper,"aluminium alloy production, Metallic Matrix Composite",US,Total EQ,PDF.m2.yr,1.7872080921294587e-09,4.54146856436301e-09
Copper,"aluminium alloy production, Metallic Matrix Composite",CD,Total EQ,PDF.m2.yr,1.7813502119420986e-09,4.52658312441796e-09
Copper,"treatment of metal part of electronics scrap, in copper, anode, by electrolytic refining",AU,Total EQ,PDF.m2.yr,1.4612471671258231e-09,3.7131703372937307e-09
Copper,"aluminium alloy production, AlLi",US,Total EQ,PDF.m2.yr,1.1003812095392824e-09,2.7961750475201004e-09
Copper,"aluminium alloy production, AlLi",CD,Total EQ,PDF.m2.yr,1.0834157957267598e-09,2.7530642906640373e-09
Copper,cobalt production,SG,Total EQ,PDF.m2.yr,8.171139232929434e-10,2.076365484512045e-09
Copper,"treatment of metal part of electronics scrap, in copper, anode, by electrolytic refining",AT,Total EQ,PDF.m2.yr,8.063886386158283e-10,2.0491114991370536e-09
Copper,"treatment of metal part of electronics scrap, in copper, anode, by electrolytic refining",CN,Total EQ,PDF.m2.yr,6.640627947035665e-10,1.6874477685001662e-09
Copper,"aluminium alloy production, Metallic Matrix Composite",RU,Total EQ,PDF.m2.yr,6.357496636923227e-10,1.6155013650497163e-09
Copper,"aluminium alloy production, Metallic Matrix Composite",CL,Total EQ,PDF.m2.yr,4.719781615165675e-10,1.199342143219254e-09
Copper,primary zinc production from concentrate,SG,Total EQ,PDF.m2.yr,4.4068221867841383e-10,1.119816126513371e-09
Copper,"aluminium alloy production, AlLi",RU,Total EQ,PDF.m2.yr,4.004961154716217e-10,1.0176993527355393e-09
Copper,"treatment of metal part of electronics scrap, in copper, anode, by electrolytic refining",JP,Total EQ,PDF.m2.yr,2.8788120609474147e-10,7.315339794552999e-10
Copper,"aluminium alloy production, AlLi",CL,Total EQ,PDF.m2.yr,2.78897876288569e-10,7.087064698341751e-10
