REF_DATE,GEO,North American Industry Classification System (NAICS),Energy types,UOM,VALUE
2019,Canada,Diamond mining [212392],"Heavy Fuel Oil, quantity purchased (litres)",Litres,0.0
2019,Canada,Diamond mining [212392],"Propane, quantity purchased (litres)",Litres,
2019,Canada,Diamond mining [212392],"Butane, quantity purchased (litres)",Litres,0.0
2019,Canada,Diamond mining [212392],"Electricity, quantity purchased (kilowatt-hour)",Kilowatt-hours,35584965.0
2019,Canada,Diamond mining [212392],"Steam, quantity purchased (gigajoules)",Gigajoules,0.0
2019,Canada,Diamond mining [212392],"Wood, quantity purchased (metric tonnes)",Metric tonnes,0.0
2019,Canada,Diamond mining [212392],"Water, quantity purchased (litres)",Litres,0.0
2019,Canada,Salt mining [212393],"Coal, quantity purchased (tonnes)",Tonnes,0.0
2019,Canada,Salt mining [212393],"Petroleum coke, quantity purchased (tonnes)",Tonnes,0.0
2019,Canada,Salt mining [212393],"Coke, quantity purchased (tonnes)",Tonnes,0.0
2019,Canada,Salt mining [212393],"Natural gas, quantity purchased (cubic metres)",Cubic metres,
2019,Canada,Salt mining [212393],"Gasoline - aviation, quantity purchased (litres)",Litres,0.0
2019,Canada,Salt mining [212393],"Gasoline - motor, quantity purchased (litres)",Litres,
2019,Canada,Salt mining [212393],"Kerosene, quantity purchased (litres)",Litres,0.0
2019,Canada,Salt mining [212393],"Diesel fuel, quantity purchased (litres)",Litres,
2019,Canada,Salt mining [212393],"Light Fuel Oil, quantity purchased (litres)",Litres,
2019,Canada,Salt mining [212393],"Heavy Fuel Oil, quantity purchased (litres)",Litres,
2019,Canada,Salt mining [212393],"Propane, quantity purchased (litres)",Litres,
2019,Canada,Salt mining [212393],"Butane, quantity purchased (litres)",Litres,0.0
2019,Canada,Salt mining [212393],"Electricity, quantity purchased (kilowatt-hour)",Kilowatt-hours,
2019,Canada,Salt mining [212393],"Steam, quantity purchased (gigajoules)",Gigajoules,0.0
2019,Canada,Salt mining [212393],"Wood, quantity purchased (metric tonnes)",Metric tonnes,0.0
2019,Canada,Salt mining [212393],"Water, quantity purchased (litres)",Litres,
2019,Canada,Gypsum mining [212395],"Coal, quantity purchased (tonnes)",Tonnes,0.0
2019,Canada,Gypsum mining [212395],"Petroleum coke, quantity purchased (tonnes)",Tonnes,0.0
2019,Canada,Gypsum mining [212395],"Coke, quantity purchased (tonnes)",Tonnes,0.0
